,price,year,mileage,clusters,cluster
268,10300,2019,18937.0,1,purple
269,22600,2019,9706.0,1,purple
270,10480,2016,57289.0,2,dark purple
271,10300,2019,19956.0,1,purple
272,22700,2019,6075.0,1,purple
273,7410,2016,21034.0,1,purple
274,10300,2019,22881.0,1,purple
275,10300,2013,167600.0,0,pink
276,7570,2016,37252.0,1,purple
278,18900,2019,27601.0,1,purple
279,12560,2019,15958.0,1,purple
280,33000,2019,32251.0,1,purple
281,18300,2019,25809.0,1,purple
282,11760,2017,30553.0,1,purple
283,31700,2019,26549.0,1,purple
284,25,2007,160528.0,0,pink
286,7340,2019,15854.0,1,purple
287,8200,2017,56690.0,2,dark purple
288,3000,2013,97142.0,2,dark purple
289,6530,2019,10185.0,1,purple
290,0,2009,117541.0,0,pink
291,12700,2019,23514.0,1,purple
292,13800,2017,86959.0,2,dark purple
294,725,2017,67279.0,2,dark purple
295,7400,2019,16482.0,1,purple
296,9800,2017,35687.0,1,purple
298,4400,2019,17911.0,1,purple
299,10330,2019,21278.0,1,purple
300,1800,2011,47269.0,1,purple
303,22800,2017,67217.0,2,dark purple
304,2500,2017,78698.0,2,dark purple
306,9190,2017,41961.0,1,purple
307,10900,2019,13273.0,1,purple
308,10400,2019,31713.0,1,purple
312,22809,2017,50732.0,1,purple
314,0,2013,94004.0,2,dark purple
315,5520,2017,52904.0,2,dark purple
316,10900,2019,14195.0,1,purple
317,6330,2019,43965.0,1,purple
318,0,2009,117059.0,0,pink
320,2320,2007,112182.0,0,pink
321,23702,2017,49024.0,1,purple
324,5520,2017,35821.0,1,purple
325,4050,2018,0.0,1,purple
326,14810,2019,32611.0,1,purple
327,25,2011,105244.0,2,dark purple
328,2960,2008,164048.0,0,pink
329,24800,2017,46955.0,1,purple
332,6270,2017,70443.0,2,dark purple
333,1880,2012,0.0,1,purple
334,10050,2019,18229.0,1,purple
335,225,2014,87673.0,2,dark purple
337,1420,2007,104405.0,2,dark purple
338,27003,2017,57186.0,2,dark purple
341,5600,2017,59808.0,2,dark purple
342,6680,2011,0.0,1,purple
343,10120,2019,20681.0,1,purple
344,0,2010,137422.0,0,pink
345,3920,2015,102700.0,2,dark purple
346,23100,2017,53270.0,1,purple
348,5630,2017,27195.0,1,purple
349,0,2009,0.0,1,purple
350,2800,2019,20849.0,1,purple
351,0,2008,159266.0,0,pink
352,8850,2015,143818.0,0,pink
353,18712,2017,67347.0,2,dark purple
354,0,2009,180364.0,0,pink
355,0,2009,184889.0,0,pink
356,6300,2017,117400.0,0,pink
357,2220,2010,0.0,1,purple
358,6930,2019,47798.0,1,purple
359,25,2008,130623.0,0,pink
360,3440,2015,124542.0,0,pink
361,50412,2017,47129.0,1,purple
364,9270,2017,19490.0,1,purple
365,11380,2019,12038.0,1,purple
366,5350,2019,43536.0,1,purple
368,3790,2015,100893.0,2,dark purple
369,40514,2017,90304.0,2,dark purple
372,9190,2017,31394.0,1,purple
373,10330,2019,25933.0,1,purple
374,1000,2008,118250.0,0,pink
375,2925,2013,46060.0,1,purple
376,3830,2015,50593.0,1,purple
377,43402,2017,62387.0,2,dark purple
378,1025,2009,169634.0,0,pink
379,17200,2016,72527.0,2,dark purple
380,54680,2016,9502.0,1,purple
381,6940,2010,217290.0,0,pink
382,13080,2019,17243.0,1,purple
383,25,2007,194903.0,0,pink
384,10630,2015,82899.0,2,dark purple
385,43009,2017,76418.0,2,dark purple
388,4950,2016,71404.0,2,dark purple
389,3760,2019,30382.0,1,purple
390,3900,2009,179389.0,0,pink
392,3830,2015,82534.0,2,dark purple
393,53500,2017,55732.0,1,purple
394,25,2010,198596.0,0,pink
396,6240,2015,83623.0,2,dark purple
397,4150,2014,108895.0,2,dark purple
401,13500,2014,33542.0,1,purple
402,6490,2015,74754.0,2,dark purple
403,51502,2017,27661.0,1,purple
404,250,2010,115241.0,0,pink
406,8160,2015,109027.0,2,dark purple
407,7770,2014,72732.0,2,dark purple
409,25,2008,177422.0,0,pink
411,1825,2008,77984.0,2,dark purple
412,39800,2017,23177.0,1,purple
413,9210,2015,26911.0,1,purple
415,125,2014,56461.0,2,dark purple
416,3960,2015,95128.0,2,dark purple
417,5998,2014,122975.0,0,pink
418,3700,2014,162824.0,0,pink
419,0,2008,148463.0,0,pink
422,5000,2012,140339.0,0,pink
423,15050,2019,26786.0,1,purple
424,3960,2019,35623.0,1,purple
425,36300,2019,14541.0,1,purple
427,2630,2018,36739.0,1,purple
428,5690,2017,42616.0,1,purple
429,19500,2017,65833.0,2,dark purple
430,450,2008,123515.0,0,pink
431,20400,2015,36122.0,1,purple
432,4320,2011,88359.0,2,dark purple
433,33001,2017,35905.0,1,purple
434,10000,2017,35747.0,1,purple
436,5790,2012,105020.0,2,dark purple
437,14750,2019,11047.0,1,purple
438,4010,2019,31233.0,1,purple
439,40000,2019,19427.0,1,purple
440,13000,2017,71991.0,2,dark purple
441,3550,2018,29043.0,1,purple
442,3040,2017,36064.0,1,purple
444,36400,2015,47213.0,1,purple
445,4480,2011,116480.0,0,pink
446,31003,2017,72084.0,2,dark purple
448,8850,2011,148035.0,0,pink
449,14750,2019,11396.0,1,purple
450,4690,2019,33785.0,1,purple
451,23000,2018,20103.0,1,purple
452,46900,2018,32387.0,1,purple
453,10740,2018,48140.0,1,purple
454,3160,2017,34861.0,1,purple
456,3450,2011,114119.0,0,pink
457,27102,2017,34165.0,1,purple
458,500,2018,27442.0,1,purple
459,5100,2011,144792.0,0,pink
460,15010,2019,11394.0,1,purple
461,5800,2019,30546.0,1,purple
462,23200,2018,23745.0,1,purple
463,8000,2015,88274.0,2,dark purple
464,3390,2018,38349.0,1,purple
465,3140,2017,30142.0,1,purple
467,15000,2014,44730.0,1,purple
468,10440,2011,92476.0,2,dark purple
469,23911,2017,25698.0,1,purple
470,25,2010,155242.0,0,pink
471,21400,2018,54332.0,2,dark purple
472,5380,2011,119215.0,0,pink
473,11000,2019,8930.0,1,purple
474,4950,2019,46985.0,1,purple
475,22500,2018,30220.0,1,purple
476,30300,2017,37021.0,1,purple
477,2630,2018,43152.0,1,purple
478,3140,2017,34318.0,1,purple
479,2300,2011,88287.0,2,dark purple
480,4310,2011,105486.0,2,dark purple
481,26012,2017,19850.0,1,purple
482,75,2014,116535.0,0,pink
483,48500,2019,15777.0,1,purple
484,3330,2009,87448.0,2,dark purple
485,11200,2019,8395.0,1,purple
486,4730,2019,30121.0,1,purple
487,24900,2018,33687.0,1,purple
488,29400,2017,37561.0,1,purple
489,8350,2018,32256.0,1,purple
491,3210,2017,25255.0,1,purple
494,8430,2011,114547.0,0,pink
495,25503,2017,18647.0,1,purple
497,26000,2019,16669.0,1,purple
498,3900,2017,47970.0,1,purple
499,11200,2019,12905.0,1,purple
500,8610,2019,22123.0,1,purple
501,28000,2018,40780.0,1,purple
503,10840,2017,36596.0,1,purple
504,100,2012,0.0,1,purple
505,11050,2017,30421.0,1,purple
506,0,2012,134938.0,0,pink
508,3570,2015,17355.0,1,purple
509,25001,2017,27773.0,1,purple
510,0,2010,86841.0,2,dark purple
511,5630,2017,58366.0,2,dark purple
512,11100,2019,11229.0,1,purple
513,4650,2019,27492.0,1,purple
515,3820,2016,41654.0,1,purple
517,2900,2017,31954.0,1,purple
518,50,2008,172102.0,0,pink
520,4700,2015,93423.0,2,dark purple
521,29502,2017,14053.0,1,purple
522,0,2008,145483.0,0,pink
523,6160,2017,25956.0,1,purple
524,10910,2019,12253.0,1,purple
525,3440,2019,34895.0,1,purple
526,16000,2016,47753.0,1,purple
527,3810,2016,39408.0,1,purple
529,3020,2017,33599.0,1,purple
532,3870,2010,185983.0,0,pink
533,24811,2017,28464.0,1,purple
534,75,2007,154989.0,0,pink
535,5420,2017,16702.0,1,purple
536,11100,2019,11449.0,1,purple
537,4750,2019,25847.0,1,purple
538,17900,2015,49772.0,1,purple
539,3800,2015,83915.0,2,dark purple
540,3160,2017,40306.0,1,purple
541,25,2010,149189.0,0,pink
543,6470,2010,69622.0,2,dark purple
544,26400,2017,36295.0,1,purple
546,32500,2018,14856.0,1,purple
547,6900,2017,44129.0,1,purple
548,11030,2019,10861.0,1,purple
549,3460,2012,142106.0,0,pink
550,18000,2015,82411.0,2,dark purple
551,3250,2015,111612.0,0,pink
552,3210,2017,35251.0,1,purple
553,13200,2017,50408.0,1,purple
554,27705,2019,15630.0,1,purple
555,7200,2017,53273.0,2,dark purple
556,28714,2019,14786.0,1,purple
557,11200,2017,85315.0,2,dark purple
558,27502,2019,16146.0,1,purple
559,11900,2017,76211.0,2,dark purple
560,29314,2019,15265.0,1,purple
561,11200,2017,79965.0,2,dark purple
562,27002,2019,16059.0,1,purple
563,13200,2017,62739.0,2,dark purple
564,28214,2019,15569.0,1,purple
565,12700,2017,58932.0,2,dark purple
566,29900,2019,17488.0,1,purple
567,12700,2017,60733.0,2,dark purple
568,27202,2019,18550.0,1,purple
569,13500,2018,53194.0,2,dark purple
570,27705,2019,17644.0,1,purple
571,14700,2016,34454.0,1,purple
572,29900,2019,17684.0,1,purple
573,4500,2015,83279.0,2,dark purple
574,27705,2019,16600.0,1,purple
575,8000,2015,107971.0,2,dark purple
576,25511,2019,17801.0,1,purple
577,7700,2015,94150.0,2,dark purple
578,29900,2019,17159.0,1,purple
579,7200,2015,80711.0,2,dark purple
580,27502,2019,17983.0,1,purple
581,4500,2013,119981.0,0,pink
582,27402,2019,17851.0,1,purple
583,1500,2013,66079.0,2,dark purple
584,26602,2019,18174.0,1,purple
585,10200,2019,7654.0,1,purple
586,29900,2019,18759.0,1,purple
587,14000,2019,11564.0,1,purple
588,28500,2019,18901.0,1,purple
589,8000,2016,86541.0,2,dark purple
590,29809,2019,21157.0,1,purple
591,36900,2015,29937.0,1,purple
592,26902,2019,23964.0,1,purple
593,10950,2015,58504.0,2,dark purple
594,27402,2019,20154.0,1,purple
595,16900,2014,63500.0,2,dark purple
596,25600,2019,23294.0,1,purple
597,29700,2016,24293.0,1,purple
598,27702,2019,20343.0,1,purple
599,13500,2016,19655.0,1,purple
600,27102,2019,19100.0,1,purple
601,27102,2019,20014.0,1,purple
602,25811,2019,21774.0,1,purple
603,26602,2019,21201.0,1,purple
604,27102,2019,21766.0,1,purple
605,37500,2019,12406.0,1,purple
606,26211,2019,17977.0,1,purple
607,24205,2019,22805.0,1,purple
608,37500,2019,16013.0,1,purple
609,27111,2019,14382.0,1,purple
610,27411,2019,9660.0,1,purple
611,27302,2019,18969.0,1,purple
612,27202,2019,24730.0,1,purple
613,26311,2019,15847.0,1,purple
614,26602,2019,25009.0,1,purple
615,33500,2017,22115.0,1,purple
616,27511,2019,11836.0,1,purple
617,21500,2017,23765.0,1,purple
618,27200,2019,25508.0,1,purple
619,26511,2019,18196.0,1,purple
620,24002,2019,16106.0,1,purple
621,21500,2017,14907.0,1,purple
622,18511,2019,12735.0,1,purple
623,14000,2017,53424.0,2,dark purple
624,29000,2017,17940.0,1,purple
625,23402,2019,17417.0,1,purple
626,13300,2017,37125.0,1,purple
